"id","name","invoice_code"
"l10n_co.civil_registration","Registro Civil","11"
"l10n_co.id_card","Tarjeta de Identidad","12"
"l10n_co.national_citizen_id","Cédula de ciudadanía","13"
"l10n_co.foreign_colombian_card","Tarjeta de extranjería","21"
"l10n_co.foreign_resident_card","Cédula de extranjería","22"
"l10n_co.rut","NIT","31"
"l10n_latam_base.it_pass","Pasaporte","41"
"l10n_latam_base.it_fid","Cédula Extranjera","42"
"l10n_co.external_id","Nit de otro país","50"
"l10n_co.niup_id","NIUP","91"
